Nom,URL,Localisation ,Nature,Expertise numérique 1,Expertise numérique 2,Expertise numérique 3
Arkkana Studio ,https://www.nicolasimhof.com/,Ollon ,Studio de création/production,"Animation (2D, 3D)",Impression et modélisation 3D,Interactive design/ design numérique
Uniris,https://www.unil.ch/uniris/fr/home.html,Lausanne,Centre de recherche ,Traitement et analyse de données,Reproduction numérique,
Archeotech,https://www.archeotech.ch/,Epalinges,PME,Documentation technique et virtualisation,Impression et modélisation 3D,
B+G (Experience Design Group),https://bgcom.ch/,Montreux,Agence,Communication numérique,Interactive design/ design numérique,
Destination Culture (Expérience Design Group),https://www.destination-culture.ch/,Vevey,PME,Ingénieurie culturelle,,
EPFL + Ecal Lab,https://epfl-ecal-lab.ch/,Renens,Centre de recherche ,Interactive design/ design numérique,"Innovation, cocréation, codesign",Création de sites web et logiciels
INT studio,https://www.int.studio/,Renens,Studio de création/production ,Interactive design/ design numérique,,
Iart,https://iart.ch/en,Lausanne,Studio de création/production ,Interactive design/ design numérique,Production audiovisuelle,
Gaël Paccard (lundimardi.info),https://www.lundimardi.info/,Lausanne,Indépendant ,Interactive design/ design numérique,,
About Blank,https://aboutblank.ch/,Renens,Agence,Interactive design/ design numérique,Création de sites web et logiciels,
Studio Banana,https://studiobanana.com/fr/,Lausanne,PME,Interactive design/ design numérique,,
Pierre Georges,https://www.nerval.ch/index.php,Lausanne,Indépendant ,Interactive design/ design numérique,,
Big ratio (BIG NAME × :ratio),http://big-ratio.ch/,Lausanne,Agence ,Interactive design/ design numérique,,
Geoffroy Dubreuil,https://darwindigital.ch/casestudies/ct-gallery/,Lausanne,Indépendant ,Interactive design/ design numérique,,
Transverse,https://transverse.ch/,Lausanne,Agence ,Interactive design/ design numérique,,
Museomix CH,https://www.museomix.ch/museomix/,Lausanne,PME,Interactive design/ design numérique,"Innovation, cocréation, codesign",
Odoma,https://www.odoma.ch/,Lausanne,Start-up,Traitement et analyse de données,Conseil et accompagnement en transformation numérique,
Matthieu Amiguet,https://www.matthieuamiguet.ch/,n.c.,Indépendant ,Systèmes d'information,,
Joel Aeschlimann,http://www.joelleaeschlimann.com/,Lausanne,Indépendant ,Interactive design/ design numérique,,
Luyantsev Company,https://lukyantsev.com/,Montreux ,Game studio,Jeux vidéos et gamification,,
Naraven,https://www.naravengames.com/,Lausanne,Game studio,Jeux vidéos et gamification,,
Ozwe,https://www.ozwe.com/,Lausanne,Game studio,Jeux vidéos et gamification,,
Skycrosser (par DE PESTERS DESIGN SNC),http://skycrosser.com/,Coppet,Game studio,Jeux vidéos et gamification,,
Sunnyside games,https://www.sunnysidegames.ch/,Lausanne,Game studio,Jeux vidéos et gamification,,
Team Kwa Kwa,https://team-kwakwa.com/,Lausanne,Game studio,Jeux vidéos et gamification,,
Spinny's Journey,https://spinnysjourney.com/,Lausanne,Game studio,Jeux vidéos et gamification,,
Digital Kingdom,https://digitalkingdom.ch/prestations/,Vevey,Studio de création/production,Jeux vidéos et gamification,,
FURINKAZAN,http://www.furinkazan.ch/,Lausanne,Studio de création/production,Jeux vidéos et gamification,,
Artmidae,https://www.artemidae.art/,Nyon,Start-up ,Commerce électronique,Reproduction numérique,
Artmyn,https://artmyn.com/,Lausanne,Start-up,Reproduction numérique,Médiation numérique,
L'Oeil du Public (Suisse),https://loeildupublic.com/,Lausanne,Agence,Marketing,Traitement et analyse de données,
Secutix,https://www.secutix.com/,Lausanne,PME,Marketing,Commerce électronique,
Smeetz,https://business.smeetz.com/fr/home,Renens,Start-up,Marketing,Commerce électronique,
Weezevent,https://weezevent.com/fr-ch/,Lausanne,PME,Marketing,Commerce électronique,
eM+,https://www.epfl.ch/labs/emplus/,Lausanne,Centre de recherche ,Interactive design/ design numérique,Intelligence artificielle,Médiation numérique
UNIL | Université de Lausanne Service Culture et Médiation scientifique,https://www.unil.ch/scms/home.html,Lausanne,Centre de recherche ,Médiation numérique,,
Thematis (Expérience Design Group),https://www.thematis.ch/,Vevey,PME,Ingénieurie culturelle,,
Go2Play (Expérience Design Group),https://go2play.ch/,Vevey,PME,Conseil et accompagnement en transformation numérique,,
Creal,https://creal.com/,Ecublens,Start-up,Technologie XR,,
