Nom,URL,Descriptif,Porteur de projet 1,Porteur de projet 2,Porteur de projet 3,Porteur de projet 4,Début du projet,Localisation
notrehistoire.ch,https://notrehistoire.ch/,Quand les Romands font leur histoire : notrehistoire.ch est une plateforme collaborative pour collecter et exposer les photos de tou.te.s,FONSART (Fondation pour la sauvegarde du patrimoine audiovisuel de la RTS) ,,,,2009,virtuel
Musée Imaginaire Suisse,https://www.mi-s.ch/fr/index.php,Cette plateforme de publication des visites de musées permet de collecter les histoires des visiteurs afin de rendre la visite au musée plus ludique et active. ,Kuverum Services,Fondation Beisheim,Pour-cent culturel Migros,,n.c.,virtuel
Musée Imaginaire des migrations,https://www.mimsuisse.ch/Fr/About,"Cette plateforme de récits de migration veut établir un espace mental collectif virtuel afin de sensibiliser au sujet de la migration (""La migration nous concerne tous !"")",A*ds,Association des musées suisses,p&s netwerk kultur,,n.c.,virtuel / dispositif physique dans les musées 
Musée Imaginaire Genève,https://www.mis-geneve.ch/,"Cette plateforme est destinée à accueillirdes créations en images, textes, vidéos etc. dont les auteurs sont aussi bien des individus que des groupes, à la suite de la rencontre avec une œuvre ou une activité dans le domaine de la culture à Genève.",Association Cédille,la Ville de Genève,,,n.c.,virtuel
Malley en quartiers,https://www.malleyenquartiers.ch/,Ce projet a comme objectif de faire connaître l'histoire récente mais méconnue des anciens abattoires municipaux de Lausanne-Malley. Un parcours de visite dans le quartier de Malley ainsi qu'un site internet et une publication de recherche ont été conçus dans le cadre de ce projet. ,IHM (institut des Humanités en médecine CHUV-UNIL),"AAU (Rachitecture, Alimentation et Urbanisme)",,,2018,Lausanne/virtuel
"muse, the voice of visitor",https://muse.stream/fr/,Cette apllication a pour objectif de recueillir de façon interactive l'expérience des visiteurs au musée pour mieux comprendre et connaître ces publics. ,eM+,,,,2020,virtuel
Félix Vallontton - Illustrateur ,https://felixvallotton.ch/projets/,Cette plateforme en open access pour le catalogue raisonné de Félix Vallotton permet de valoriser la documentation existante conservée de l'artiste à des fins de publications,"Fondation Félix Vallotton, Institut suisse pour l’étude de l’art (SIK-ISEA)",,,,2022,
Exposition Virtuelle Jean Starobinski,https://www.expo-starobinski.ch/,Cette exposition numérique a été conçue pour engager le public dans la consultation et navigation d'œuvres littéraires d'écrivains dont les fonds dont conservées aux Archives Littéraires de Suisse.,Archives Littéraires Suisses,EPFL+Ecal Lab,,,2019,Lausanne
Montreux Jazz Digital Project,https://www.epfl.ch/innovation/domains/fr/centre-dinnovation-dans-les-patrimoines-culturels/projet-montreux-jazz-digital/,Ce projet de recherche et d'innovation permet de numériser et valoriser les enregistrements des éditions du Montreux Jazz. ,Fondation Claude Nobs,,,,2010,Montreux
Interactive Replica (MCAH),https://www.int.studio/works/interactive-replicas-at-mcah/,"Ces répliques numériques d'artefacts permettents de créer une expérience tangible, et donc interactive, pour le visiteur du musée. ",MCAH,,,,2020,Lausanne
Interactive Replicas (LabElysée),https://www.int.studio/works/interactive-replicas-v.2/,"Ces répliques numériques d'artefacts permettents de créer une expérience tangible, et donc interactive, pour le visiteur du musée. ","Plateforme10 (Mudac, Musée de l'Elysée)",,,,2020,Lausanne
LCD (LabElysée),https://www.int.studio/works/interactive-replicas-v.2/,"Cette plateforme visualise un ensemble de données, issues collections du MUDAC et de Photo Elysée, selon le code RGB. ","Plateforme10 (Mudac, Musée de l'Elysée)",,,,2019,Lausanne
Narrative Focus (LabElysée),https://www.int.studio/works/narrative-focus/,Ce dispositif suit le regard du visiteur sur l'œuvre et permet ainsi de créer un lien tangible entre les deux. ,"Plateforme10 (Mudac, Musée de l'Elysée)",,,,2020,Lausanne
Parcours interactif - Histoire vaudoise,http://www.visite.mcah.ch/#/mcah-web-geed,Ce parcours interactif est complémentaire à la lecture du livre Histoire vaudoise.  ,MCAH,,,,n.c.,Lausanne
Le 5e étage (centre d'Art Contemporain de Genève),https://5e.centre.ch/fr/,"La plateforme numérique du centre d'Art Contemporain de Genève est une plateforme de création visuelle, d'archivage numérique et diffusion de radio qui permet de compléter et prolonger la programmation in situ. ",Centre d'art contemporain de Genève,,,,n.c.,virtuel
